ID,Zip,BirthMonth,TotalSales,TotalSavings,TotalVisits,LastVisit,ReferralCode
546747,49202,,254.9100,0.0000,9,2015-04-18 13:31:31.320000,Catalog
546765,36078,,866.7100,97.6500,22,2015-05-21 13:57:14, 
546774,35801-2476,,1089.7900,224.4100,13,2018-12-12 14:31:54.793000, 
546827,386545117,,2550.7000,400207.5600,24,2013-02-19 19:47:17.727000,
546843,35254,,10983.2300,238.9989,34,2018-06-19 12:14:11,Friend
546857,36460-2572,,1329.8800,60.6000,23,2019-08-10 12:00:09.667000, 
546870,351755234,,1183.2100,492.1600,13,2017-07-27 11:16:22.497000,Catalog
546880,352162355,,2399.9700,138.5200,67,2019-09-26 10:32:27,Friend
546899,724768497,,5273.5200,24.7500,18,2015-03-24 18:15:09.130000,Catalog
546943,360665344,,1324.6280,15.6400,31,2015-10-31 10:20:08,Catalog
546944,33919-4592,,1403.5400,62.0000,10,2015-10-17 14:32:58.960000,
546956,30906-9315,,822.0400,33.5900,13,2015-11-19 16:45:05,
546962,351282330,,1269.1900,43.5200,15,2012-07-22 13:44:01, 
546965,350435353,,726.2900,0.0000,13,2019-07-25 11:01:56,
546974,61614-8025,,13015.7600,2303.2000,208,2015-10-31 11:42:03.073000,
546993,35007,,989.6600,4.5000,14,2019-11-19 14:07:58, 
547009,352443916,,61.1500,0.0100,12,2014-09-17 12:25:05, 
547022,35243,,5684.1345,-541.1600,79,2019-01-09 16:51:35.877000,Internet
547040,35080,,3795.2900,319.5600,91,2020-02-26 18:40:59, 
547044,352133032,,4595.9800,47.1100,48,2020-02-14 13:45:23,Catalog
547067,35226,,678.8401,69.0500,12,2019-10-01 15:11:21, 
547069,352424216,,6279.9650,573.7790,122,2019-04-13 10:49:36.473000,Catalog
547094,35046,,1416.3900,230.5400,24,2019-03-20 15:28:38, 
547097,35127,,5415.7600,367.3500,72,2017-09-21 14:56:03, 
547118,359562030,,4545.5700,482.9700,45,2016-03-13 12:43:47.730000,Brochure
547134,87506,,549.8400,6.0000,8,2016-03-23 19:34:00.233000,
547164,35080,,908.8400,60.0200,14,2020-01-17 16:39:22.483000, 
547165,35022,,2407.2300,222.2800,55,2016-04-27 14:20:42,
547172,359678266,,481.9800,18.9500,11,2016-04-13 12:09:40, 
547175,359078029,,562.3300,16.1400,8,2014-10-15 14:49:52,Brochure
547178,352435340,,4693.9400,64.0000,73,2016-12-13 14:32:54.323000, 
547193,365331234,,4175.3800,35.0200,22,2013-02-21 15:59:27.590000,
547245,35121,,210.9700,15.0000,11,2017-09-10 16:37:50, 
547272,617449269,,633.5400,20.4000,6,2014-08-07 16:38:42.047000,
547280,362663928,,715.3700,81.0000,6,2015-08-28 10:31:41.547000,Catalog
547282,983460540,,983.2200,-64.0000,6,2016-03-18 10:33:29.073000,
547288,35115-9048,,1413.3800,75.4400,20,2018-11-15 13:28:06.633000,Catalog
547293,37377-3016,,1294.7400,213.0600,27,2019-11-12 12:47:01.143000, 
547313,35986,,855.0900,23.1300,17,2020-02-29 11:52:34.687000,Catalog
547315,334963277,,3988.0400,1175.7000,194,2016-09-20 17:52:05.937000,
547321,35226,,218.8900,10.0000,9,2017-05-16 10:20:54, 
547322,393058878,,1969.8800,85.1900,9,2018-03-15 16:18:12.897000,
547331,39111-3451,,3926.4400,246.1000,34,2016-09-29 11:52:09.093000,
547335,66221,,1605.9200,168.6200,38,2016-10-09 12:37:34.463000, 
547348,36078-3349,,2084.1700,100.0200,9,2016-10-15 15:06:26.070000, 
547393,72715-4714,,671.4000,0.0000,18,2016-11-30 13:46:36.333000,
547416,35130,,1786.3800,72.8800,35,2018-12-18 10:24:06, 
547431,52146,,2185.0000,118.2400,53,2016-12-15 11:56:35.720000,Catalog
547443,36750,,3837.3800,145.0200,19,2020-04-09 07:18:19,Friend
547457,35150,,2376.8300,6.4100,65,2017-05-08 13:49:13, 
547458,35206-1807,,1067.0000,11.2400,12,2017-01-09 16:05:07.790000,
547463,731501709,,330.0800,0.0000,8,2016-12-02 15:14:22.317000,
547472,35124,,376958.3000,22644.7000,14775,2017-01-24 16:26:27.227000,
